Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15345241,2,"Saturday, May 18, 2013 03:28:21 UTC",34.0512,-117.1730,1.4,7.80,31,"Greater Los Angeles area, California"
nc,71993461,1,"Saturday, May 18, 2013 02:55:20 UTC",38.7630,-122.7417,1.6,2.10,23,"Northern California"
ak,10719490,1,"Saturday, May 18, 2013 02:53:42 UTC",64.6201,-151.6763,2.2,8.20,12,"Central Alaska"
pr,13138000,0,"Saturday, May 18, 2013 02:25:21 UTC",19.5130,-66.3090,3.3,44.00,21,"Puerto Rico region"
ak,10719483,1,"Saturday, May 18, 2013 01:59:14 UTC",61.5040,-140.6885,2.6,0.10,18,"Southern Yukon Territory, Canada"
nc,71993411,0,"Saturday, May 18, 2013 01:35:09 UTC",38.9323,-122.4832,1.8,7.80, 7,"Northern California"
ak,10719479,1,"Saturday, May 18, 2013 01:15:14 UTC",66.0277,-148.5354,1.6,13.60, 7,"northern Alaska"
nc,71993406,0,"Saturday, May 18, 2013 01:08:43 UTC",38.7512,-122.7008,1.2,1.80,11,"Northern California"
nc,71993401,1,"Saturday, May 18, 2013 00:44:50 UTC",36.5572,-121.0912,2.1,9.50,30,"Central California"
hv,60500511,2,"Saturday, May 18, 2013 00:23:31 UTC",19.4198,-155.3115,1.9,5.80,22,"Island of Hawaii, Hawaii"
uw,60531152,2,"Saturday, May 18, 2013 00:16:17 UTC",48.0883,-121.9482,1.6,0.00,24,"Puget Sound region, Washington"
ci,15345185,2,"Saturday, May 18, 2013 00:16:03 UTC",33.9900,-116.7627,1.4,16.40,37,"Southern California"
nc,71993366,1,"Saturday, May 18, 2013 00:11:00 UTC",38.8055,-122.7908,2.6,1.30,52,"Northern California"
ak,10719330,1,"Friday, May 17, 2013 23:58:06 UTC",60.1620,-153.0306,2.5,121.90,10,"Southern Alaska"
ci,15345177,2,"Friday, May 17, 2013 23:51:35 UTC",36.0227,-117.6040,1.0,2.80,11,"Central California"
ci,15345169,2,"Friday, May 17, 2013 23:39:27 UTC",33.4745,-116.6375,1.2,16.20,13,"Southern California"
nc,71993351,0,"Friday, May 17, 2013 23:36:33 UTC",38.8137,-122.7972,1.0,0.90, 5,"Northern California"
nc,71993346,0,"Friday, May 17, 2013 23:31:06 UTC",37.5242,-118.8265,1.3,7.60,13,"Central California"
ci,15345153,2,"Friday, May 17, 2013 23:26:30 UTC",33.2657,-115.5272,1.5,1.90,12,"Southern California"
nn,00412171,1,"Friday, May 17, 2013 23:07:32 UTC",37.0096,-117.4752,1.2,9.20,11,"Central California"
ak,10719203,1,"Friday, May 17, 2013 23:05:14 UTC",65.0121,-147.6359,1.4,26.10, 7,"northern Alaska"
nc,71993306,0,"Friday, May 17, 2013 22:12:09 UTC",38.8408,-122.8077,1.8,6.20, 4,"Northern California"
us,b000gy0e,6,"Friday, May 17, 2013 22:02:26 UTC",37.6330,124.5798,4.8,13.50,67,"Yellow Sea"
nc,71993286,1,"Friday, May 17, 2013 21:59:03 UTC",38.8365,-122.7735,1.6,1.70,25,"Northern California"
